,Survived,Pclass,Sex,Age,SibSp,Parch,C,Q,S,Fare
0,0,3,0,22.0,1,0,0,0,1,1.9810014688665833
1,1,1,1,38.0,1,0,1,0,0,4.26666207838721
2,1,3,1,26.0,0,0,0,0,1,2.0700223197633445
3,1,1,1,35.0,1,0,0,0,1,3.9721769282478934
4,0,3,0,35.0,0,0,0,0,1,2.0856720914304723
5,0,3,0,28.0,0,0,0,1,0,2.135148207799377
6,0,1,0,54.0,0,0,0,0,1,3.948595985658986
8,1,3,1,27.0,0,2,0,0,1,2.409940617298087
9,1,2,1,14.0,1,0,1,0,0,3.4035546012358333
10,1,3,1,4.0,1,1,0,0,1,2.8154087194227095
12,0,3,0,20.0,0,0,0,0,1,2.0856720914304723
13,0,3,0,39.0,1,5,0,0,1,3.442819056352975
14,0,3,1,14.0,0,0,0,0,1,2.061048420562944
17,1,2,0,28.0,0,0,0,0,1,2.5649493574615367
18,0,3,1,31.0,1,0,0,0,1,2.8903717578961645
19,1,3,1,28.0,0,0,1,0,0,1.9775472339984959
20,0,2,0,35.0,0,0,0,0,1,3.258096538021482
21,1,2,0,34.0,0,0,0,0,1,2.5649493574615367
22,1,3,1,15.0,0,0,0,1,0,2.0830848965946345
23,1,1,0,28.0,0,0,0,0,1,3.56953269648137
24,0,3,1,8.0,3,1,0,0,1,3.048087503887919
25,1,3,1,38.0,1,5,0,0,1,3.4464097244837033
26,0,3,0,28.0,0,0,1,0,0,1.9775472339984959
28,1,3,1,28.0,0,0,0,1,0,2.0642263758733557
29,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
30,0,1,0,40.0,0,0,1,0,0,3.32218303393412
31,1,1,1,28.0,1,0,1,0,0,4.9871673979011675
32,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
34,0,1,0,28.0,1,0,1,0,0,4.408800007809053
35,0,1,0,42.0,1,0,0,0,1,3.9512437185814275
36,1,3,0,28.0,0,0,1,0,0,1.9781283799793465
37,0,3,0,21.0,0,0,0,0,1,2.0856720914304723
38,0,3,1,18.0,2,0,0,0,1,2.8903717578961645
39,1,3,1,14.0,1,0,1,0,0,2.419630078580691
40,0,3,1,40.0,1,0,0,0,1,2.24865675096849
41,0,2,1,27.0,1,0,0,0,1,3.044522437723423
42,0,3,0,28.0,0,0,1,0,0,2.0663309725297405
43,1,2,1,3.0,1,2,1,0,0,3.7276000422255353
44,1,3,1,19.0,0,0,0,1,0,2.0642263758733557
45,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
46,0,3,0,28.0,1,0,0,1,0,2.740840023925201
47,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
48,0,3,0,28.0,2,0,1,0,0,3.0763532755216065
49,0,3,1,18.0,1,0,0,0,1,2.8791984572980396
50,0,3,0,7.0,4,1,0,0,1,3.6810362766529106
51,0,3,0,21.0,0,0,0,0,1,2.0541237336955462
52,1,1,1,49.0,1,0,1,0,0,4.340282339965535
53,1,2,1,29.0,1,0,0,0,1,3.258096538021482
55,1,1,0,28.0,0,0,0,0,1,3.56953269648137
56,1,2,1,21.0,0,0,0,0,1,2.3513752571634776
57,0,3,0,28.5,0,0,1,0,0,1.9781283799793465
58,1,2,1,5.0,1,2,0,0,1,3.3232358401924436
59,0,3,0,11.0,5,2,0,0,1,3.8480176754522337
60,0,3,0,22.0,0,0,1,0,0,1.9781283799793465
61,1,1,1,38.0,0,0,0,0,1,4.382026634673881
62,0,1,0,45.0,1,0,0,0,1,4.424547185829718
63,0,3,0,4.0,3,2,0,0,1,3.32862668882732
64,0,1,0,28.0,0,0,1,0,0,3.32218303393412
65,1,3,0,28.0,1,1,1,0,0,2.7243040552851014
66,1,2,1,29.0,0,0,0,0,1,2.3513752571634776
67,0,3,0,19.0,0,0,0,0,1,2.0990358139382788
68,1,3,1,17.0,4,2,0,0,1,2.0700223197633445
69,0,3,0,26.0,2,0,0,0,1,2.1590033645160216
70,0,2,0,32.0,0,0,0,0,1,2.3513752571634776
71,0,3,1,16.0,5,2,0,0,1,3.8480176754522337
72,0,2,0,21.0,0,0,0,0,1,4.297285406218791
73,0,3,0,26.0,1,0,1,0,0,2.6709850297651974
74,1,3,0,32.0,0,0,0,0,1,4.034166299106131
75,0,3,0,25.0,0,0,0,0,1,2.0347056478384444
76,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
77,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
79,1,3,1,30.0,0,0,0,0,1,2.5237266416375825
80,0,3,0,22.0,0,0,0,0,1,2.1972245773362196
81,1,3,0,29.0,0,0,0,0,1,2.2512917986064953
82,1,3,1,28.0,0,0,0,1,0,2.0525198841135714
83,0,1,0,28.0,0,0,0,0,1,3.8522730010223722
84,1,2,1,17.0,0,0,0,0,1,2.3513752571634776
85,1,3,1,33.0,3,0,0,0,1,2.7631695003232895
86,0,3,0,16.0,1,3,0,0,1,3.5373295559867355
87,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
89,0,3,0,24.0,0,0,0,0,1,2.0856720914304723
90,0,3,0,29.0,0,0,0,0,1,2.0856720914304723
91,0,3,0,20.0,0,0,0,0,1,2.061048420562944
92,0,1,0,46.0,1,0,0,0,1,4.113738609328736
93,0,3,0,26.0,1,2,0,0,1,3.0240767465631335
95,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
97,1,1,0,23.0,0,1,1,0,0,4.148805916338137
98,1,2,1,34.0,0,1,0,0,1,3.1354942159291497
99,0,2,0,34.0,1,0,0,0,1,3.258096538021482
100,0,3,1,28.0,0,0,0,0,1,2.0663309725297405
101,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
