taxi_ID,trip_ID,date,time,hour,status,latitude,longitude,rounded_latitude,rounded_longitude,distance,duration
AK2306,AK2306_T_6203,23-09-16,6:03,6,O,13.73136425,100.650322,13.73,100.65,,
AK2306,AK2306_T_6203,23-09-16,6:14,6,D,13.73135662,100.6502838,13.73,100.65,5,11
AK2306,AK2306_T_6204,23-09-16,6:20,6,O,13.73130798,100.6501999,13.73,100.65,,
AK2306,AK2306_T_6204,23-09-16,6:46,6,D,13.73575211,100.6769485,13.74,100.68,7456,26
AK2306,AK2306_T_6206,23-09-16,6:50,6,O,13.73414803,100.6917877,13.73,100.69,,
AK2306,AK2306_T_6206,23-09-16,7:26,7,D,13.75986385,100.6820679,13.76,100.68,7163,36
AK2306,AK2306_T_6208,23-09-16,7:51,7,O,13.73508644,100.6920547,13.74,100.69,,
AK2306,AK2306_T_6208,23-09-16,8:37,8,D,13.77928257,100.6778336,13.78,100.68,11417,46
AK2306,AK2306_T_6210,23-09-16,8:46,8,O,13.75575733,100.6800919,13.76,100.68,,
AK2306,AK2306_T_6210,23-09-16,9:02,9,D,13.7764349,100.6737595,13.78,100.67,2476,16
AK2306,AK2306_T_6212,23-09-16,9:28,9,O,13.76348686,100.6513519,13.76,100.65,,
AK2306,AK2306_T_6212,23-09-16,9:31,9,D,13.76329994,100.6499252,13.76,100.65,235,3
AK2306,AK2306_T_6214,23-09-16,9:41,9,O,13.76949406,100.6388321,13.77,100.64,,
AK2306,AK2306_T_6214,23-09-16,9:43,9,D,13.77286339,100.6319122,13.77,100.63,841,2
AK2306,AK2306_T_6216,23-09-16,10:01,10,O,13.80350208,100.6180191,13.8,100.62,,
AK2306,AK2306_T_6216,23-09-16,10:07,10,D,13.79077721,100.6109772,13.79,100.61,1650,6
AK2306,AK2306_T_6218,23-09-16,10:18,10,O,13.76608276,100.6086731,13.77,100.61,,
AK2306,AK2306_T_6218,23-09-16,10:28,10,D,13.76246834,100.6162796,13.76,100.62,2758,10
AK2306,AK2306_T_6222,23-09-16,11:08,11,O,13.77886581,100.6077042,13.78,100.61,,
AK2306,AK2306_T_6222,23-09-16,12:55,12,D,13.76039696,100.6454391,13.76,100.65,10610,47
AK2306,AK2306_T_6224,23-09-16,13:04,13,O,13.75687313,100.6182327,13.76,100.62,,
AK2306,AK2306_T_6224,23-09-16,13:33,13,D,13.73677254,100.6206589,13.74,100.62,8683,29
AK2306,AK2306_T_6226,23-09-16,13:52,13,O,13.74224472,100.694664,13.74,100.69,,
AK2306,AK2306_T_6226,23-09-16,14:11,14,D,13.78858566,100.678009,13.79,100.68,7717,19
